package_option_version,package_item_order_0based,option_order_within_sample_0based,sample_index_row_id,pdb_id,ligand_comp_id,warhead_type_candidate_class_index_0based,warhead_type_candidate_class_id,reaction_family_id,warhead_rule_id,source_proposal_record_sha256,source_candidate_set_sha256,source_bridge_candidate_index_0based,source_bridge_candidate_record_sha256,boundary_bond_id,warhead_attachment_atom_id,nonwarhead_boundary_atom_id,boundary_bond_order,warhead_side_atom_ids,warhead_extra_atom_ids_beyond_local_center,local_reaction_center_atom_ids,required_leaving_group_atom_ids,warhead_side_atom_count,nonwarhead_side_atom_count,candidate_admitted,review_eligible,blocking_reasons,package_option_record_sha256
covapie_current11_warhead_atom_set_and_attachment_boundary_review_option_v1,10,1,CYS_SG_SAMPLE_INDEX_000004,1AEC,E64,2,COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_3B7FB1395768B690,COVAPIE_CYS_SG_REACTION_FAMILY_4C9251579704AD85,COVAPIE_CYS_SG_WARHEAD_RULE_3B7FB1395768B690,0f4d743da32b4d0ac1deb909249a118d13bbb6bc590d6022a1b4f85e43ea6a68,ea03b17a07622fb807038e6f7970b2d29ea72a2b69809c34e9df843209ce95e5,1,e5e2d5417c3faba9ebd9b88d945478058b64c1afc50c23ea8eb8c9db5af5202a,C11|C6|single,C6,C11,single,"[""C1"",""C10"",""C2"",""C3"",""C4"",""C6"",""C7"",""C8"",""C9"",""N1"",""O1"",""O2"",""O3"",""O4""]","[""C10"",""C4"",""C6"",""C7"",""C8"",""C9"",""N1"",""O1"",""O2"",""O3"",""O4""]","[""C1"",""C2"",""C3""]",[],14,11,true,true,,76d55e9c8aa31b007cb08012c63bb2e4c82ea3b8c8921bcb10e0ffd56806e83e
covapie_current11_warhead_atom_set_and_attachment_boundary_review_option_v1,11,2,CYS_SG_SAMPLE_INDEX_000004,1AEC,E64,2,COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_3B7FB1395768B690,COVAPIE_CYS_SG_REACTION_FAMILY_4C9251579704AD85,COVAPIE_CYS_SG_WARHEAD_RULE_3B7FB1395768B690,0f4d743da32b4d0ac1deb909249a118d13bbb6bc590d6022a1b4f85e43ea6a68,ea03b17a07622fb807038e6f7970b2d29ea72a2b69809c34e9df843209ce95e5,2,38e5f793c21803e2488f6a6af7ed0fde12c0d8c5ff4d1b4acafe75e1728a8e8c,C11|N2|single,C11,N2,single,"[""C1"",""C10"",""C11"",""C2"",""C3"",""C4"",""C6"",""C7"",""C8"",""C9"",""N1"",""O1"",""O2"",""O3"",""O4"",""O5""]","[""C10"",""C11"",""C4"",""C6"",""C7"",""C8"",""C9"",""N1"",""O1"",""O2"",""O3"",""O4"",""O5""]","[""C1"",""C2"",""C3""]",[],16,9,true,true,,17f6932cfe2e24daddaf2ad5c085a93b68ca0d973d00698d18acfa377b219801
covapie_current11_warhead_atom_set_and_attachment_boundary_review_option_v1,12,3,CYS_SG_SAMPLE_INDEX_000004,1AEC,E64,2,COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_3B7FB1395768B690,COVAPIE_CYS_SG_REACTION_FAMILY_4C9251579704AD85,COVAPIE_CYS_SG_WARHEAD_RULE_3B7FB1395768B690,0f4d743da32b4d0ac1deb909249a118d13bbb6bc590d6022a1b4f85e43ea6a68,ea03b17a07622fb807038e6f7970b2d29ea72a2b69809c34e9df843209ce95e5,3,3dbaa53ddb61387d200534417950682fd182bfe04ea97a42fe1fde7f107256a8,C11|O5|double,C11,O5,double,"[""C1"",""C10"",""C11"",""C12"",""C13"",""C14"",""C15"",""C16"",""C2"",""C3"",""C4"",""C6"",""C7"",""C8"",""C9"",""N1"",""N2"",""N3"",""N4"",""N5"",""O1"",""O2"",""O3"",""O4""]","[""C10"",""C11"",""C12"",""C13"",""C14"",""C15"",""C16"",""C4"",""C6"",""C7"",""C8"",""C9"",""N1"",""N2"",""N3"",""N4"",""N5"",""O1"",""O2"",""O3"",""O4""]","[""C1"",""C2"",""C3""]",[],24,1,true,true,,f4cc8a5274e4324d2cacde2f04bcf3ec0f2bd00627197b4403d5e384c7e3d5fa
covapie_current11_warhead_atom_set_and_attachment_boundary_review_option_v1,13,4,CYS_SG_SAMPLE_INDEX_000004,1AEC,E64,2,COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_3B7FB1395768B690,COVAPIE_CYS_SG_REACTION_FAMILY_4C9251579704AD85,COVAPIE_CYS_SG_WARHEAD_RULE_3B7FB1395768B690,0f4d743da32b4d0ac1deb909249a118d13bbb6bc590d6022a1b4f85e43ea6a68,ea03b17a07622fb807038e6f7970b2d29ea72a2b69809c34e9df843209ce95e5,4,3cb1d486772fb9693c1f7b6c20051d5daa38d9e8cfb877c846a84e3867d3af30,C12|C13|single,C12,C13,single,"[""C1"",""C10"",""C11"",""C12"",""C2"",""C3"",""C4"",""C6"",""C7"",""C8"",""C9"",""N1"",""N2"",""O1"",""O2"",""O3"",""O4"",""O5""]","[""C10"",""C11"",""C12"",""C4"",""C6"",""C7"",""C8"",""C9"",""N1"",""N2"",""O1"",""O2"",""O3"",""O4"",""O5""]","[""C1"",""C2"",""C3""]",[],18,7,true,true,,579cff5a3cfb28a0a05bf104ba1c9886cb9eaf202225002a539bec6d53e1de76
covapie_current11_warhead_atom_set_and_attachment_boundary_review_option_v1,14,5,CYS_SG_SAMPLE_INDEX_000004,1AEC,E64,2,COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_3B7FB1395768B690,COVAPIE_CYS_SG_REACTION_FAMILY_4C9251579704AD85,COVAPIE_CYS_SG_WARHEAD_RULE_3B7FB1395768B690,0f4d743da32b4d0ac1deb909249a118d13bbb6bc590d6022a1b4f85e43ea6a68,ea03b17a07622fb807038e6f7970b2d29ea72a2b69809c34e9df843209ce95e5,5,15319f6bc844dce7f7b84df2270ee6090bb8163b1278f12716e43465f6701220,C12|N2|single,N2,C12,single,"[""C1"",""C10"",""C11"",""C2"",""C3"",""C4"",""C6"",""C7"",""C8"",""C9"",""N1"",""N2"",""O1"",""O2"",""O3"",""O4"",""O5""]","[""C10"",""C11"",""C4"",""C6"",""C7"",""C8"",""C9"",""N1"",""N2"",""O1"",""O2"",""O3"",""O4"",""O5""]","[""C1"",""C2"",""C3""]",[],17,8,true,true,,438617b92499d0b5071d7caacb66582f3326a523e2d53ad724c15421ecd9286a
covapie_current11_warhead_atom_set_and_attachment_boundary_review_option_v1,15,6,CYS_SG_SAMPLE_INDEX_000004,1AEC,E64,2,COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_3B7FB1395768B690,COVAPIE_CYS_SG_REACTION_FAMILY_4C9251579704AD85,COVAPIE_CYS_SG_WARHEAD_RULE_3B7FB1395768B690,0f4d743da32b4d0ac1deb909249a118d13bbb6bc590d6022a1b4f85e43ea6a68,ea03b17a07622fb807038e6f7970b2d29ea72a2b69809c34e9df843209ce95e5,6,deadef3090d23c12e90986397a497f5dd91e17a04f4c955bc56a20562943a31e,C13|C14|single,C13,C14,single,"[""C1"",""C10"",""C11"",""C12"",""C13"",""C2"",""C3"",""C4"",""C6"",""C7"",""C8"",""C9"",""N1"",""N2"",""O1"",""O2"",""O3"",""O4"",""O5""]","[""C10"",""C11"",""C12"",""C13"",""C4"",""C6"",""C7"",""C8"",""C9"",""N1"",""N2"",""O1"",""O2"",""O3"",""O4"",""O5""]","[""C1"",""C2"",""C3""]",[],19,6,true,true,,2632ac052a4f645a2e7639a82348501436c4ddfb430627a00c2c1ebcdd9f6ee7
covapie_current11_warhead_atom_set_and_attachment_boundary_review_option_v1,16,7,CYS_SG_SAMPLE_INDEX_000004,1AEC,E64,2,COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_3B7FB1395768B690,COVAPIE_CYS_SG_REACTION_FAMILY_4C9251579704AD85,COVAPIE_CYS_SG_WARHEAD_RULE_3B7FB1395768B690,0f4d743da32b4d0ac1deb909249a118d13bbb6bc590d6022a1b4f85e43ea6a68,ea03b17a07622fb807038e6f7970b2d29ea72a2b69809c34e9df843209ce95e5,7,24892941b19112778b440788db3a36acc8f861236ec18dc58e73cfb2d72e29df,C14|C15|single,C14,C15,single,"[""C1"",""C10"",""C11"",""C12"",""C13"",""C14"",""C2"",""C3"",""C4"",""C6"",""C7"",""C8"",""C9"",""N1"",""N2"",""O1"",""O2"",""O3"",""O4"",""O5""]","[""C10"",""C11"",""C12"",""C13"",""C14"",""C4"",""C6"",""C7"",""C8"",""C9"",""N1"",""N2"",""O1"",""O2"",""O3"",""O4"",""O5""]","[""C1"",""C2"",""C3""]",[],20,5,true,true,,a277638be347eb2a1abcbd607dc6b81a2c61111ed3ad1c98c9a7b416d369b983
covapie_current11_warhead_atom_set_and_attachment_boundary_review_option_v1,17,8,CYS_SG_SAMPLE_INDEX_000004,1AEC,E64,2,COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_3B7FB1395768B690,COVAPIE_CYS_SG_REACTION_FAMILY_4C9251579704AD85,COVAPIE_CYS_SG_WARHEAD_RULE_3B7FB1395768B690,0f4d743da32b4d0ac1deb909249a118d13bbb6bc590d6022a1b4f85e43ea6a68,ea03b17a07622fb807038e6f7970b2d29ea72a2b69809c34e9df843209ce95e5,8,318fd52798735ad2834646c590352fe6fbbfb022d39ea769bec59a5f675ed320,C15|N3|single,C15,N3,single,"[""C1"",""C10"",""C11"",""C12"",""C13"",""C14"",""C15"",""C2"",""C3"",""C4"",""C6"",""C7"",""C8"",""C9"",""N1"",""N2"",""O1"",""O2"",""O3"",""O4"",""O5""]","[""C10"",""C11"",""C12"",""C13"",""C14"",""C15"",""C4"",""C6"",""C7"",""C8"",""C9"",""N1"",""N2"",""O1"",""O2"",""O3"",""O4"",""O5""]","[""C1"",""C2"",""C3""]",[],21,4,true,true,,7bdaabab9297dad21bd0b18835da159c77556e081d53ab43e7d6025f2df8a751
covapie_current11_warhead_atom_set_and_attachment_boundary_review_option_v1,18,9,CYS_SG_SAMPLE_INDEX_000004,1AEC,E64,2,COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_3B7FB1395768B690,COVAPIE_CYS_SG_REACTION_FAMILY_4C9251579704AD85,COVAPIE_CYS_SG_WARHEAD_RULE_3B7FB1395768B690,0f4d743da32b4d0ac1deb909249a118d13bbb6bc590d6022a1b4f85e43ea6a68,ea03b17a07622fb807038e6f7970b2d29ea72a2b69809c34e9df843209ce95e5,9,01a784674e05d7b03a85813dad8b224ba31b40eeda235d5b481f5074b9096e09,C16|N3|single,N3,C16,single,"[""C1"",""C10"",""C11"",""C12"",""C13"",""C14"",""C15"",""C2"",""C3"",""C4"",""C6"",""C7"",""C8"",""C9"",""N1"",""N2"",""N3"",""O1"",""O2"",""O3"",""O4"",""O5""]","[""C10"",""C11"",""C12"",""C13"",""C14"",""C15"",""C4"",""C6"",""C7"",""C8"",""C9"",""N1"",""N2"",""N3"",""O1"",""O2"",""O3"",""O4"",""O5""]","[""C1"",""C2"",""C3""]",[],22,3,true,true,,e692e18145eeadbee5c85edb27b622a6c43583cc92cd86e73324a5aec507b5a3
covapie_current11_warhead_atom_set_and_attachment_boundary_review_option_v1,19,10,CYS_SG_SAMPLE_INDEX_000004,1AEC,E64,2,COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_3B7FB1395768B690,COVAPIE_CYS_SG_REACTION_FAMILY_4C9251579704AD85,COVAPIE_CYS_SG_WARHEAD_RULE_3B7FB1395768B690,0f4d743da32b4d0ac1deb909249a118d13bbb6bc590d6022a1b4f85e43ea6a68,ea03b17a07622fb807038e6f7970b2d29ea72a2b69809c34e9df843209ce95e5,10,e33a9e66436ba0dbb82d231863f93fe28ee2d9843590ed21f5c0e350f7acb14a,C16|N4|single,C16,N4,single,"[""C1"",""C10"",""C11"",""C12"",""C13"",""C14"",""C15"",""C16"",""C2"",""C3"",""C4"",""C6"",""C7"",""C8"",""C9"",""N1"",""N2"",""N3"",""N5"",""O1"",""O2"",""O3"",""O4"",""O5""]","[""C10"",""C11"",""C12"",""C13"",""C14"",""C15"",""C16"",""C4"",""C6"",""C7"",""C8"",""C9"",""N1"",""N2"",""N3"",""N5"",""O1"",""O2"",""O3"",""O4"",""O5""]","[""C1"",""C2"",""C3""]",[],24,1,true,true,,f76ab8ca5cb521510b2906c7c5cde100129cd36df21ce55c41c6b723ae6405d2
