candidate_id,source_sample_id,pre_reaction_sample_id,dry_run_manifest_parseable,dry_run_manifest_valid,dry_run_manifest_safety_flags_valid,dry_run_manifest_read_only_record_found_once,dry_run_manifest_read_only_record_fields_valid,dry_run_manifest_read_only_record_hashes_valid,dry_run_manifest_read_only_record_safety_flags_valid,dry_run_report_row_found_once,dry_run_report_status_passed,dry_run_report_safety_flags_valid,upstream_loader_gate_status_still_passed,upstream_real_training_dataset_packaging_qa_status_still_passed,real_training_dataset_package_still_valid,index_and_manifest_still_valid,packaged_hashes_still_match_index_and_manifest,manifest_paths_match_index_sources,mask_levels_valid,auxiliary_labels_valid,graph_counts_positive,only_allowed_dry_run_files_created,no_data_files_copied,no_archive_created,no_training_tensors_created,dataloader_built,dataloader_tensor_generated,torch_imported,checkpoint_loaded,model_initialized,real_training_tensor_generated,real_dataset_generated,training_ready,files_copied,copied_file_count,archive_created,dry_run_manifest_modified_by_qa,dry_run_report_modified_by_qa,dry_run_summary_modified_by_qa,real_package_files_modified_by_qa,upstream_gate_files_modified_by_qa,upstream_packaging_qa_files_modified_by_qa,index_csv_modified_by_qa,dataset_manifest_modified_by_qa,raw_manifest_modified_by_qa,package_files_modified_by_qa,source_files_modified_by_qa,read_only_training_dataset_loader_dry_run_qa_status,blocking_reasons,recommended_next_action
BTK_C481_6DI9_pre_reaction,BTK_C481_6DI9,BTK_C481_6DI9_pre_reaction,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,read_only_training_dataset_loader_dry_run_qa_passed,,prepare_training_tensor_design_gate_not_training
KRAS_G12C_5F2E_pre_reaction,KRAS_G12C_5F2E,KRAS_G12C_5F2E_pre_reaction,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,read_only_training_dataset_loader_dry_run_qa_passed,,prepare_training_tensor_design_gate_not_training
KRAS_G12C_6OIM_pre_reaction,KRAS_G12C_6OIM,KRAS_G12C_6OIM_pre_reaction,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,0,false,false,false,false,false,false,false,false,false,false,false,false,read_only_training_dataset_loader_dry_run_qa_passed,,prepare_training_tensor_design_gate_not_training
